,wine_name,vintage,winery_name,wine_style,wine_type,natural_wine,ratings_average,ratings_count,taste_acidity,taste_fizziness,taste_intensity,taste_sweetness,taste_tannin,flavor_score_black_fruit,flavor_score_citrus_fruit,flavor_score_dried_fruit,flavor_score_earth,flavor_score_floral,flavor_score_microbio,flavor_score_non_oak,flavor_score_oak,flavor_score_red_fruit,flavor_score_spices,flavor_score_tree_fruit,flavor_score_tropical_fruit,flavor_score_vegetal,grape_Cabernet Franc,grape_Cabernet Sauvignon,grape_Carménère,grape_Chardonnay,grape_Gewürztraminer,grape_Grenache,grape_Malbec,grape_Merlot,grape_Mourvedre,grape_Petit Verdot,grape_Petite Sirah,grape_Pinot Gris,grape_Pinot Noir,grape_Sauvignon Blanc,grape_Shiraz/Syrah,grape_Sémillon,grape_Zinfandel,years_old,num_grapes_used,is_blend,is_red
30,Duckhorn Napa Valley Merlot 2011,2011,Duckhorn,Californian Merlot,Merlot,0,0.6666666666666664,0.050994183687271745,0.4249724451723712,0.0,0.8020052638448963,0.5654875035808329,0.4881610362040373,0.20131004366812227,0.0037117903930131,0.019868995633187773,0.11331877729257643,0.013537117903930132,0.026419213973799125,0.1314410480349345,0.21179039301310046,0.15589519650655026,0.10698689956331878,0.005240174672489083,0.0008733624454148473,0.009606986899563321,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.20512820512820512,0.0,0,1
31,Ghost Pines Cabernet Sauvignon 2016,2016,Ghost Pines,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,0.4999999999999999,0.050949095991703865,0.7419048861379807,0.0,0.9804573478455609,0.45364803941892295,0.7804670950928793,0.18036684782608692,0.002038043478260869,0.014266304347826088,0.10224184782608696,0.004076086956521739,0.025815217391304348,0.16134510869565216,0.22282608695652173,0.13994565217391305,0.13417119565217392,0.004076086956521739,0.0010190217391304348,0.0078125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.0,0,1
32,McManis Petite Sirah 2017,2017,McManis,Californian Petite Sirah,Petite Sirah,0,0.611111111111111,0.050949095991703865,0.8398402126148672,0.0,0.9025744155068841,0.5658886322234813,0.9894603666413231,0.17763578274760386,0.002875399361022364,0.01757188498402556,0.11022364217252396,0.008306709265175719,0.037060702875399365,0.15878594249201278,0.25335463258785945,0.08849840255591054,0.13738019169329074,0.0022364217252396168,0.0012779552715654952,0.004792332268370607,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.05128205128205128,0.0,0,1
33,Decoy Pinot Noir 2017,2017,Decoy,Californian Pinot Noir,Pinot Noir,0,0.4999999999999999,0.050949095991703865,0.8450084603031933,0.0,0.5885886198063097,0.4302272324360682,0.4764854337976758,0.07864077669902912,0.009223300970873786,0.010194174757281555,0.13932038834951455,0.00825242718446602,0.031553398058252434,0.13106796116504854,0.2029126213592233,0.270873786407767,0.10194174757281553,0.0033980582524271844,0.0014563106796116505,0.01116504854368932,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.05128205128205128,0.0,0,1
34,Ghost Pines Cabernet Sauvignon 2011,2011,Ghost Pines,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,0.4999999999999999,0.050904008296135984,0.7419048861379807,0.0,0.9804573478455609,0.45364803941892295,0.7804670950928793,0.18036684782608692,0.002038043478260869,0.014266304347826088,0.10224184782608696,0.004076086956521739,0.025815217391304348,0.16134510869565216,0.22282608695652173,0.13994565217391305,0.13417119565217392,0.004076086956521739,0.0010190217391304348,0.0078125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20512820512820512,0.0,0,1
35,Prophecy Red Blend 2014,2014,Prophecy,Californian Red Blend,Red Blend,0,0.38888888888888895,0.050768745209432344,0.9341031458964995,0.0,0.9642717751264622,0.47226080832043327,0.7246431405366202,0.12481203007518794,0.001503759398496241,0.03759398496240601,0.07518796992481203,0.004511278195488722,0.02706766917293233,0.11578947368421053,0.19699248120300752,0.3112781954887218,0.09022556390977443,0.0075187969924812035,0.0,0.0075187969924812035,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.1282051282051282,0.6,1,1
36,Woodbridge by Robert Mondavi Pinot Noir 2014,2014,Woodbridge by Robert Mondavi,Californian Pinot Noir,Pinot Noir,0,0.3333333333333333,0.05058839442716083,0.8396429043251221,0.0,0.5825495617649102,0.5041716451571343,0.4960462025749462,0.09424083769633508,0.015706806282722512,0.026178010471204192,0.15968586387434555,0.010471204188481676,0.020942408376963352,0.09947643979057592,0.25654450261780104,0.2382198952879581,0.052356020942408384,0.013089005235602094,0.0,0.013089005235602094,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1282051282051282,0.0,0,1
37,Silver Oak Alexander Valley Cabernet Sauvignon 2008,2008,Silver Oak,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,0.8333333333333335,0.05058839442716083,0.735149379470817,0.0,0.9645732648826666,0.42041193938266114,0.7634619742999593,0.15656742556917688,0.002101576182136602,0.00893169877408056,0.13012259194395798,0.008231173380035027,0.02591943957968476,0.14010507880910686,0.30630472854640983,0.09457092819614712,0.1138353765323993,0.0015761821366024518,0.0005253940455341507,0.011208406304728549,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28205128205128205,0.0,0,1
38,Rancho Zabaco Zinfandel Sonoma Heritage Vines 2014,2014,Rancho Zabaco,Californian Zinfandel,Zinfandel,0,0.4999999999999999,0.05045313134045719,0.4337027246913054,0.0,0.9827158412429817,0.7621243399690862,0.5824287410564999,0.2214170692431562,0.0024154589371980675,0.03542673107890499,0.09178743961352658,0.008856682769726247,0.033011272141706925,0.1247987117552335,0.17552334943639292,0.14412238325281804,0.15136876006441224,0.0024154589371980675,0.0008051529790660224,0.008051529790660225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1282051282051282,0.0,0,1
39,Sequoia Grove Cabernet Sauvignon  2013,2013,Sequoia Grove,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,0.7222222222222222,0.05036295594932143,0.8236034009326489,0.0,0.9717467673733197,0.45173825212924457,0.7608999181786951,0.1757469244288225,0.001054481546572935,0.00984182776801406,0.13884007029876974,0.0073813708260105455,0.03022847100175747,0.14657293497363796,0.24815465729349734,0.11388400702987694,0.11388400702987694,0.002460456942003515,0.00070298769771529,0.01124780316344464,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0.0,0,1
