grape_Sauvignon Blanc,grape_Pinot Gris,wine_type,flavor_score_red_fruit,flavor_score_spices,grape_Pinot Noir,flavor_score_citrus_fruit,grape_Petite Sirah,grape_Mourvedre,taste_acidity,flavor_score_black_fruit,grape_Petit Verdot,flavor_score_tropical_fruit,grape_Cabernet Sauvignon,grape_Merlot,grape_Gewürztraminer,grape_Carménère,flavor_score_earth,flavor_score_vegetal,taste_tannin,flavor_score_non_oak,taste_intensity,taste_sweetness,natural_wine,ratings_average,wine_name,grape_Chardonnay,flavor_score_microbio,grape_Shiraz/Syrah,flavor_score_oak,grape_Grenache,grape_Malbec,grape_Sémillon,flavor_score_dried_fruit,vintage,flavor_score_tree_fruit,flavor_score_floral,wine_style,ratings_count,grape_Cabernet Franc,winery_name,taste_fizziness,grape_Zinfandel
,,Cabernet Sauvignon,0.13994565217391305,0.13417119565217392,,0.0020380434782608695,,,3.029161,0.18036684782608695,,0.0010190217391304348,1,,,,0.10224184782608696,0.0078125,3.3858492,0.16134510869565216,4.847819,1.5655451,False,3.8,Ghost Pines Cabernet Sauvignon 2011,,0.025815217391304348,,0.22282608695652173,,,,0.014266304347826086,2011,0.004076086956521739,0.004076086956521739,Californian Cabernet Sauvignon,2054,,Ghost Pines,,
,,Red Blend,0.3112781954887218,0.09022556390977443,,0.0015037593984962407,,,3.813897,0.12481203007518797,,,1,1,,,0.07518796992481203,0.007518796992481203,3.1436718,0.11578947368421053,4.7677903,1.629778,False,3.6,Prophecy Red Blend 2014,,0.02706766917293233,1,0.19699248120300752,,,,0.03759398496240601,2014,0.007518796992481203,0.004511278195488722,Californian Red Blend,2051,,Prophecy,,1
,,Pinot Noir,0.23821989528795812,0.05235602094240838,1,0.015706806282722512,,,3.4282205,0.09424083769633508,,,,,,,0.15968586387434555,0.013089005235602094,2.1519647,0.09947643979057591,2.8803852,1.7399027,False,3.5,Woodbridge by Robert Mondavi Pinot Noir 2014,,0.020942408376963352,,0.25654450261780104,,,,0.02617801047120419,2014,0.013089005235602094,0.010471204188481676,Californian Pinot Noir,2047,,Woodbridge by Robert Mondavi,,
,,Alexander Valley Cabernet Sauvignon,0.09457092819614711,0.1138353765323993,,0.0021015761821366026,,,3.0015786,0.15656742556917688,,0.0005253940455341507,1,,,,0.13012259194395798,0.011208406304728547,3.312077,0.14010507880910683,4.769281,1.4508469,False,4.4,Silver Oak Alexander Valley Cabernet Sauvignon 2008,,0.025919439579684764,,0.30630472854640983,,,,0.00893169877408056,2008,0.0015761821366024518,0.008231173380035026,Californian Cabernet Sauvignon,2047,,Silver Oak,,
,,Zinfandel Sonoma Heritage Vines,0.14412238325281804,0.15136876006441224,,0.0024154589371980675,,,1.7707868,0.2214170692431562,,0.0008051529790660225,,,,,0.09178743961352658,0.008051529790660225,2.5267124,0.1247987117552335,4.858986,2.6301007,False,3.8,Rancho Zabaco Zinfandel Sonoma Heritage Vines 2014,,0.033011272141706925,,0.17552334943639292,,,,0.03542673107890499,2014,0.0024154589371980675,0.008856682769726247,Californian Zinfandel,2044,,Rancho Zabaco,,1
,,Cabernet Sauvignon ,0.11388400702987697,0.11388400702987697,,0.001054481546572935,,,3.362732,0.1757469244288225,,0.00070298769771529,1,,,,0.13884007029876977,0.01124780316344464,3.3009622,0.14657293497363796,4.80475,1.5589544,False,4.2,Sequoia Grove Cabernet Sauvignon  2013,,0.03022847100175747,,0.24815465729349737,,,,0.00984182776801406,2013,0.002460456942003515,0.007381370826010545,Napa Valley Cabernet Sauvignon,2042,,Sequoia Grove,,
,,Pinot Noir,0.2649270234409553,0.1017249004865104,1,0.005307386112339673,,,3.4251325,0.13799203892083148,,0.0017691287041132243,,,,,0.1096859796550199,0.012826183104820876,2.1042376,0.12074303405572756,3.079331,1.5941105,False,3.7,Wines from Hahn Estate Pinot Noir 2016,,0.03494029190623618,,0.18000884564352057,,,,0.01238390092879257,2016,0.007076514816452897,0.010614772224679346,Californian Pinot Noir,2038,,Wines from Hahn Estate,,
,,HANDS OF TIME Red,0.12513144058885384,0.13459516298633017,,0.0015772870662460567,,,3.8266697,0.16982124079915878,,0.0005257623554153522,1,1,,,0.11409043112513144,0.006834910620399579,3.2915819,0.1508937960042061,4.8263183,1.6004062,False,4,Stag's Leap Wine Cellars HANDS OF TIME Red 2014,,0.02786540483701367,1,0.24132492113564669,,,,0.016824395373291272,2014,0.0031545741324921135,0.007360672975814932,Californian Red Blend,2038,,Stag's Leap Wine Cellars,,1
,,Cabernet Sauvignon,0.11844832691738229,0.1217056559076103,,0.005626295528575659,,,3.4433763,0.17974533609712762,,0.0008883624518803672,1,,,,0.1551673082617708,0.011252591057151318,3.427392,0.1264435889843056,4.684104,1.5140196,False,4.2,Heitz Cellar Cabernet Sauvignon 2009,,0.025466390287237194,,0.22594018359490672,,,,0.011548711874444773,2009,0.005330174711282203,0.01243707432632514,Napa Valley Cabernet Sauvignon,2037,,Heitz Cellar,,
,,Merlot,0.1678463094034378,0.10970677451971689,,0.007583417593528817,,,1.720842,0.16481294236602628,,0.0025278058645096056,,1,,,0.10262891809908999,0.011627906976744186,2.1219888,0.12790697674418605,3.9204314,1.9465477,False,3.6,Bogle Merlot 2014,,0.03538928210313448,,0.2416582406471183,,,,0.012639029322548028,2014,0.008594539939332659,0.007077856420626896,Californian Merlot,2035,,Bogle,,
