grape_Malbec,grape_Zinfandel,grape_Chardonnay,taste_acidity,ratings_average,wine_name,flavor_score_red_fruit,grape_Shiraz/Syrah,grape_Pinot Noir,flavor_score_spices,flavor_score_tropical_fruit,grape_Petite Sirah,taste_tannin,grape_Sémillon,winery_name,flavor_score_citrus_fruit,flavor_score_tree_fruit,flavor_score_dried_fruit,wine_type,grape_Merlot,ratings_count,taste_intensity,taste_sweetness,flavor_score_microbio,flavor_score_vegetal,flavor_score_floral,flavor_score_non_oak,grape_Carménère,flavor_score_black_fruit,wine_style,grape_Petit Verdot,grape_Cabernet Franc,flavor_score_earth,grape_Cabernet Sauvignon,natural_wine,flavor_score_oak,vintage,taste_fizziness
,,,3.4501278,3.8,Decoy Pinot Noir 2017,0.270873786407767,,1,0.10194174757281553,0.0014563106796116505,,2.0671055,,Decoy,0.009223300970873786,0.0033980582524271844,0.010194174757281554,Pinot Noir,,2055,2.910245,1.4847196,0.03155339805825243,0.01116504854368932,0.00825242718446602,0.13106796116504854,,0.07864077669902912,Californian Pinot Noir,,,0.13932038834951457,,False,0.2029126213592233,2017,
,,,3.029161,3.8,Ghost Pines Cabernet Sauvignon 2011,0.13994565217391305,,,0.13417119565217392,0.0010190217391304348,,3.3858492,,Ghost Pines,0.0020380434782608695,0.004076086956521739,0.014266304347826086,Cabernet Sauvignon,,2054,4.847819,1.5655451,0.025815217391304348,0.0078125,0.004076086956521739,0.16134510869565216,,0.18036684782608695,Californian Cabernet Sauvignon,,,0.10224184782608696,1,False,0.22282608695652173,2011,
,1,,3.813897,3.6,Prophecy Red Blend 2014,0.3112781954887218,1,,0.09022556390977443,,,3.1436718,,Prophecy,0.0015037593984962407,0.007518796992481203,0.03759398496240601,Red Blend,1,2051,4.7677903,1.629778,0.02706766917293233,0.007518796992481203,0.004511278195488722,0.11578947368421053,,0.12481203007518797,Californian Red Blend,,,0.07518796992481203,1,False,0.19699248120300752,2014,
,,,3.4282205,3.5,Woodbridge by Robert Mondavi Pinot Noir 2014,0.23821989528795812,,1,0.05235602094240838,,,2.1519647,,Woodbridge by Robert Mondavi,0.015706806282722512,0.013089005235602094,0.02617801047120419,Pinot Noir,,2047,2.8803852,1.7399027,0.020942408376963352,0.013089005235602094,0.010471204188481676,0.09947643979057591,,0.09424083769633508,Californian Pinot Noir,,,0.15968586387434555,,False,0.25654450261780104,2014,
,,,3.0015786,4.4,Silver Oak Alexander Valley Cabernet Sauvignon 2008,0.09457092819614711,,,0.1138353765323993,0.0005253940455341507,,3.312077,,Silver Oak,0.0021015761821366026,0.0015761821366024518,0.00893169877408056,Alexander Valley Cabernet Sauvignon,,2047,4.769281,1.4508469,0.025919439579684764,0.011208406304728547,0.008231173380035026,0.14010507880910683,,0.15656742556917688,Californian Cabernet Sauvignon,,,0.13012259194395798,1,False,0.30630472854640983,2008,
,1,,1.7707868,3.8,Rancho Zabaco Zinfandel Sonoma Heritage Vines 2014,0.14412238325281804,,,0.15136876006441224,0.0008051529790660225,,2.5267124,,Rancho Zabaco,0.0024154589371980675,0.0024154589371980675,0.03542673107890499,Zinfandel Sonoma Heritage Vines,,2044,4.858986,2.6301007,0.033011272141706925,0.008051529790660225,0.008856682769726247,0.1247987117552335,,0.2214170692431562,Californian Zinfandel,,,0.09178743961352658,,False,0.17552334943639292,2014,
,,,3.362732,4.2,Sequoia Grove Cabernet Sauvignon  2013,0.11388400702987697,,,0.11388400702987697,0.00070298769771529,,3.3009622,,Sequoia Grove,0.001054481546572935,0.002460456942003515,0.00984182776801406,Cabernet Sauvignon ,,2042,4.80475,1.5589544,0.03022847100175747,0.01124780316344464,0.007381370826010545,0.14657293497363796,,0.1757469244288225,Napa Valley Cabernet Sauvignon,,,0.13884007029876977,1,False,0.24815465729349737,2013,
,,,3.4251325,3.7,Wines from Hahn Estate Pinot Noir 2016,0.2649270234409553,,1,0.1017249004865104,0.0017691287041132243,,2.1042376,,Wines from Hahn Estate,0.005307386112339673,0.007076514816452897,0.01238390092879257,Pinot Noir,,2038,3.079331,1.5941105,0.03494029190623618,0.012826183104820876,0.010614772224679346,0.12074303405572756,,0.13799203892083148,Californian Pinot Noir,,,0.1096859796550199,,False,0.18000884564352057,2016,
,1,,3.8266697,4,Stag's Leap Wine Cellars HANDS OF TIME Red 2014,0.12513144058885384,1,,0.13459516298633017,0.0005257623554153522,,3.2915819,,Stag's Leap Wine Cellars,0.0015772870662460567,0.0031545741324921135,0.016824395373291272,HANDS OF TIME Red,1,2038,4.8263183,1.6004062,0.02786540483701367,0.006834910620399579,0.007360672975814932,0.1508937960042061,,0.16982124079915878,Californian Red Blend,,,0.11409043112513144,1,False,0.24132492113564669,2014,
,,,3.4433763,4.2,Heitz Cellar Cabernet Sauvignon 2009,0.11844832691738229,,,0.1217056559076103,0.0008883624518803672,,3.427392,,Heitz Cellar,0.005626295528575659,0.005330174711282203,0.011548711874444773,Cabernet Sauvignon,,2037,4.684104,1.5140196,0.025466390287237194,0.011252591057151318,0.01243707432632514,0.1264435889843056,,0.17974533609712762,Napa Valley Cabernet Sauvignon,,,0.1551673082617708,1,False,0.22594018359490672,2009,
